,id,username,gender,primary_color,age_group,energy_level,attention_need,personality,is_first_cat,has_other_cats,good_with_other_dogs,good_with_kids,employment,home_ownership,has_allergies,agree_to_fee,created_at,updated_at,age_no_preference,age_kitten,age_adult,age_juvenile,age_senior,primary_color_no_preference,primary_color_ginger,primary_color_black,primary_color_white,primary_color_calico_tortie,primary_color_others,primary_color_tabby
65,e0c4f7b9-1390-4c6f-9521-de798c854464,Sherinah,no preference,"['calico/tortie', 'tabby', 'black', 'ginger']",['adult'],chill,an attention seeker,some spice,True,False,False,False,student,staying with parents,True,True,2023-05-18 17:45:37.145000+00:00,2023-05-18 17:45:37.145000+00:00,False,False,True,False,False,False,True,True,False,True,False,True
66,6abb6324-ae5e-48d5-a55f-0134f21c79c2,John Doe,male,['no preference'],"['kitten', 'juvenile', 'adult', 'senior']",chill,independent,some spice,True,False,False,False,student,staying with parents,False,False,2023-05-18 11:38:50.554000+00:00,2023-05-18 11:38:50.554000+00:00,False,True,True,True,True,True,False,False,False,False,False,False
67,440946fb-1ef2-45d3-b778-81e3e5478f4a,jpchua23,no preference,['no preference'],"['kitten', 'juvenile']",chill,independent,all sweet,True,False,False,False,working full time,staying with parents,False,True,2023-06-06 01:53:12.745000+00:00,2023-06-06 01:53:12.745000+00:00,False,True,False,True,False,True,False,False,False,False,False,False
68,86d91c4a-0a1e-44d9-8f98-18bc08bd4d43,Catcatcat,no preference,['ginger'],['adult'],no preference,an attention seeker,all sweet,True,False,False,False,working full time,self-owned,False,True,2023-06-03 11:23:42.714000+00:00,2023-06-03 11:23:42.714000+00:00,False,False,True,False,False,False,True,False,False,False,False,False
69,082a5d87-5cb2-41d1-a29d-601b38d9f380,aeroxye12,no preference,['no preference'],"['kitten', 'juvenile', 'adult']",chill,no preference,all sweet,True,False,False,True,working full time,self-owned,False,True,2023-05-17 03:54:09.823000+00:00,2023-05-17 03:54:09.823000+00:00,False,True,True,True,False,True,False,False,False,False,False,False
70,ab6872c5-4af8-4b92-95e2-b71363b2b82d,ayayaayayo,male,"['ginger', 'calico/tortie', 'black', 'tabby', 'others', 'white']","['kitten', 'juvenile']",chill,independent,all sweet,False,True,False,True,working full time,self-owned,False,True,2023-06-07 04:58:34.841000+00:00,2023-06-07 04:58:34.841000+00:00,False,True,False,True,False,False,True,True,True,True,True,True
71,079b0ec9-cec6-42fb-9f00-7891c52a10fb,Goodboya,no preference,['no preference'],['juvenile'],no preference,no preference,all sweet,True,False,False,False,working full time,self-owned,False,True,2023-05-18 17:13:45.262000+00:00,2023-05-18 17:13:45.262000+00:00,False,False,False,True,False,True,False,False,False,False,False,False
72,850b88e9-327d-4d7d-9b61-5ca69e4283a3,Xxxhahahaha,no preference,['no preference'],"['kitten', 'juvenile']",chill,an attention seeker,all sweet,True,False,False,False,working full time,self-owned,False,True,2023-05-20 06:35:00.288000+00:00,2023-05-20 06:35:00.288000+00:00,False,True,False,True,False,True,False,False,False,False,False,False
73,d39267cc-63eb-44eb-b9f1-a16c423b4ba1,Lee Shufen2,male,['no preference'],['juvenile'],chill,independent,all sweet,False,True,True,True,working full time,self-owned,False,True,2023-06-03 15:35:25.465000+00:00,2023-06-03 15:35:25.465000+00:00,False,False,False,True,False,True,False,False,False,False,False,False
74,fafff5de-efc6-42f2-85b9-0b9c79a5abaa,tzxuanzzz,no preference,['no preference'],['kitten'],chill,independent,anything is nice,True,False,False,False,student,staying with parents,False,True,2023-06-09 09:35:35.618000+00:00,2023-06-09 09:35:35.618000+00:00,False,True,False,False,False,True,False,False,False,False,False,False
